Copy of Revenue Forecast Model 2023-2027 (05/22/2026),,,, Sites name changed ,8:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",0% - 10%,,,,,,,,,,,,,,,,,,Total Actual + Fin goals,Sponsor Vs Fin goals,Total Actual + Ops goals,Sponsor Vs Ops goals,,,,,,,,,,,,,,
Pipeline,2601,7114, Philadelphia | AAHI-AMVPX-123 | , Philadelphia , Dr. David Wheeler ,AAHI-AMVPX-123, Pipeline , Potential , Technical Resources International (TRI) , None , Amoebiasis , Infectious Disease ,Non-Vaccine,,0,0,0,0,0,330,341,341,330,341,330,341,"2,351.65",Pipeline,0,5%,,5/2/2026,Non-Psych,"20,000", Technical Resources International TRI | AAHI-AMVPX-123 | Phase 1 Amoebiasis | ,No CRO,Technical Resources International (TRI),Active,Pipeline 2026,7114Philadelphia | AAHI-AMVPX-123 |,,5,5,"100,000","5,000",No Priority,"5,000",Q2,No CRO,Pipeline 2026, Philadelphia , Infectious Disease ,0% - 10%,Pipeline,Other,Other,Not Priority,0,330,"1,011","  1,011 ",,  5 ,0,0,  30 ,,,0,,0,  30 ,0,  30 ,,179,151 to 300 Days,N/A,Not Included,,"2,659",-307.69,,0,0,0,0,0
Pipeline,2601,7113, Jersey City | AAHI-AMVPX-123 | , Jersey City , Dr. Asisat Ope ,AAHI-AMVPX-123, Pipeline , Potential , Technical Resources International (TRI) , None , Amoebiasis , Infectious Disease ,Non-Vaccine,,0,0,0,0,0,330,341,341,330,341,330,341,"2,351.65",Pipeline,0,5%,,5/2/2026,Non-Psych,"20,000", Technical Resources International TRI | AAHI-AMVPX-123 | Phase 1 Amoebiasis | ,No CRO,Technical Resources International (TRI),Active,Pipeline 2026,7113Jersey City | AAHI-AMVPX-123 |,,5,5,"100,000","5,000",No Priority,"5,000",Q2,No CRO,Pipeline 2026, Jersey City , Infectious Disease ,0% - 10%,Pipeline,Other,Other,Not Priority,0,330,"1,011","  1,011 ",,  5 ,0,0,  30 ,,,0,,0,  30 ,0,  30 ,,179,151 to 300 Days,N/A,Not Included,,"2,659",-307.69,,0,0,0,0,0
Pipeline,2600,7112, Tomball | none at the moment | , Tomball 13406 , Dr. Muhammad Irfan ,none at the moment, Pipeline ,Pre-award, No Information , RD Specialists ((RD Specialists)) , Not Available in Atom , Others ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,5/2/2026,Non-Psych,"20,000",GI IBD-IBS (IP Calprotectin),RD Specialists ((RD Specialists)),No Information,In-Active,Pipeline 2026,7112Tomball | none at the moment |,,8,0,"160,000",0,No Priority,0,Q2,Others,Pipeline 2026, Tomball 13406 ,,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,,-,0,0,0,,,0,,0,0,0,0,,179,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2599,7111, Philadelphia | CLI-10196AA1-02 | , Philadelphia , Dr. David Wheeler ,CLI-10196AA1-02, Pipeline , Potential ," Chiesi Usa, Inc. ", IQVIA , Bronchiectasis , Respiratory ,Non-Vaccine,,0,0,0,0,0,0,0,319,330,341,330,341,"1,659.34",Pipeline,308,5%,,8/2/2026,Non-Psych,"20,000", Chiesi/IQVIA-CLI-10196AA1-02-Phase 3 Bronchiectasis ,IQVIA,"Chiesi Usa, Inc.",Active,Pipeline 2026,7111Philadelphia | CLI-10196AA1-02 |,,6,6,"120,000","6,000",No Priority,"5,978",Q3,IQVIA,Pipeline 2026, Philadelphia , Respiratory ,0% - 10%,Pipeline,Other,IQVIA,Not Priority,0,0,648,"  1,011 ",,  6 ,0,0,  - ,,,0,,0,  - ,0,  - ,,179,151 to 300 Days,N/A,Not Included,,"1,659",0.00,,0,0,0,0,0
Pipeline,2599,7110, Tomball | CLI-10196AA1-02 | , Tomball 13406 , Dr. Mustafa Naeem ,CLI-10196AA1-02, Pipeline , Potential ," Chiesi Usa, Inc. ", IQVIA , Bronchiectasis , Respiratory ,Non-Vaccine,,0,0,0,0,0,0,0,319,330,341,330,341,"1,659.34",Pipeline,308,5%,,8/2/2026,Non-Psych,"20,000", Chiesi/IQVIA-CLI-10196AA1-02-Phase 3 Bronchiectasis ,IQVIA,"Chiesi Usa, Inc.",Active,Pipeline 2026,7110Tomball | CLI-10196AA1-02 |,,6,6,"120,000","6,000",No Priority,"5,978",Q3,IQVIA,Pipeline 2026, Tomball 13406 , Respiratory ,0% - 10%,Pipeline,Other,IQVIA,Not Priority,0,0,648,"  1,011 ",,  6 ,0,0,0,,,0,,0,0,0,0,,179,151 to 300 Days,N/A,Not Included,,"1,659",0.00,,0,0,0,0,0
Pipeline,2598,7109, Pupila | none at the moment | , Pupila , Supriya Krishnan ,none at the moment, Pipeline ,Pre-award, Baxis Pharma , (No Info) , Acute Bacterial Conjunctivitis , General Medicine ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,3/2/2026,Non-Psych,"20,000",Baxis Pharm-Protocol/CRO Code/ERN-Phase 3 Bacterial Conjunctivitis,No CRO,,In-Active,Pipeline 2026,7109Pupila | none at the moment |,,8,0,"160,000",0,No Priority,0,Q1,No CRO,Pipeline 2026, Pupila ,,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,,-,0,0,0,0,0,0,,0,0,0,0,,179,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2597,7108, Cyfair | 300768 | , CyFair , Dr. Tiffany Huynh ,300768, Cancelled , Cancelled , GSK , Unknown ,, Vaccine-Influenza ,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Cancelled,0,0%,,4/4/2026,Non-Psych,"8,500", GSK-300768-Phase 1/2  seasonal Flu/COVID-19 combination vaccine in adults ,No CRO,GSK,In-Active,Cancelled,7108Cyfair | 300768 |,,0,0,0,0,No Priority,0,Q2,No CRO,Cancelled, CyFair ,,0% - 10%,Not Include,GSK,Other,Not Priority,0,0,0,  - ,,  40 ,0,0,  - ,,,0,,0,  - ,0,  - ,,180,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2596,7107, Tomball Rheumatology | CDDY391B12201 | ,Tomball 13414, Dr. Shaikh Arif Ali ,CDDY391B12201, Pipeline , Potential , Novartis , IQVIA , Systemic Lupus Erythematosus (SLE) , Allergy/Immunology ,Non-Vaccine,,0,0,0,0,0,0,0,31,932,963,932,963,"3,819.88",Pipeline,0,5%,,8/27/2026,Non-Psych,"20,000", Novartis/IQVIA-CDDY391B12201-Phase 2a/b Sjogren’s Disease ,IQVIA,Novartis,Active,Pipeline 2026,7107Tomball Rheumatology | CDDY391B12201 |,,5,5,"100,000","5,000",No Priority,"5,000",Q3,IQVIA,Pipeline 2026,Tomball Rheumatology,General Medicine,0% - 10%,Pipeline,Other,IQVIA,Not Priority,0,0,963,"  2,857 ",,  5 ,0,0,0,,,0,,0,0,0,0,,180,151 to 300 Days,N/A,Not Included,,"3,820",0.00,,0,0,0,0,0
Pipeline,2595,7106, Dominion (San Antonio) | none at the moment | , Dominion , Dr. Rashid Atique ,none at the moment,Cancelled,Cancelled, Clinchoice , (No Info) , Chronic Cough , Respiratory ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,5/2/2026,Non-Psych,"20,000","ClinChoice-Protocol/CRO Code/ERN-Phase, Refractory Chronic Cough/Unexplained Chronic Cough",No CRO,Clinchoice,In-Active,Cancelled,7106Dominion (San Antonio) | none at the moment |,,0,0,0,0,No Priority,0,Q2,No CRO,Cancelled, Dominion ,Respiratory,0% - 10%,Not Include,Other,Other,Not Priority,0,0,0,  - ,,24,0,0,0,,,0,,0,0,0,0,,180,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2595,7105, AOM (Brooklyn) | none at the moment | , AOM , Dr. Ramsey Joudeh ,none at the moment,Cancelled,Cancelled, Clinchoice , (No Info) , Chronic Cough , Respiratory ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,5/2/2026,Non-Psych,"20,000","ClinChoice-Protocol/CRO Code/ERN-Phase, Refractory Chronic Cough/Unexplained Chronic Cough",No CRO,Clinchoice,In-Active,Cancelled,7105AOM (Brooklyn) | none at the moment |,,0,0,0,0,No Priority,0,Q2,No CRO,Cancelled, AOM ,Respiratory,0% - 10%,Not Include,Other,Other,Not Priority,0,0,0,  - ,,  36 ,0,0,  - ,,,0,,0,  - ,0,  - ,,180,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2595,7104, Philadelphia | none at the moment | , Philadelphia , Dr. David Wheeler ,none at the moment,Cancelled,Cancelled, Clinchoice , (No Info) , Chronic Cough , Respiratory ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,5/2/2026,Non-Psych,"20,000","ClinChoice-Protocol/CRO Code/ERN-Phase, Refractory Chronic Cough/Unexplained Chronic Cough",No CRO,Clinchoice,In-Active,Cancelled,7104Philadelphia | none at the moment |,,0,0,0,0,No Priority,0,Q2,No CRO,Cancelled, Philadelphia ,Respiratory,0% - 10%,Not Include,Other,Other,Not Priority,0,0,0,  - ,,  36 ,0,0,0,,,0,,0,0,0,0,,180,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2595,7103, Tomball | none at the moment | , Tomball 13406 , Dr. Mustafa Naeem ,none at the moment,Cancelled,Cancelled, Clinchoice , (No Info) , Chronic Cough , Respiratory ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,5/2/2026,Non-Psych,"20,000","ClinChoice-Protocol/CRO Code/ERN-Phase, Refractory Chronic Cough/Unexplained Chronic Cough",No CRO,Clinchoice,In-Active,Cancelled,7103Tomball | none at the moment |,,0,0,0,0,No Priority,0,Q2,No CRO,Cancelled, Tomball 13406 ,Respiratory,0% - 10%,Not Include,Other,Other,Not Priority,0,0,0,  - ,,24,0,0,0,,,0,,0,0,0,0,,180,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2593,7100, Dallas-Fort Worth | 306938 | , Dallas - Fort Worth , Dr. Heather Myers ,306938, Pipeline , FQ Submitted , GSK , (No Info) , Influenza , Vaccine-Influenza ,Vaccine,,0,0,0,0,0,"16,813","17,374","17,374","16,813","17,374","16,813","17,374","119,934.07",Pipeline,0,30%,,4/29/2026,Non-Psych,"8,500","GSK-Flu SV mRNA – 029-306938-Phase 2A, Influenza 50+",No CRO,GSK,Active,Pipeline 2026,7100Dallas-Fort Worth | 306938 |,,80,80,"680,000","204,000",No Priority,"204,000",Q2,No CRO,Pipeline 2026, Dallas - Fort Worth ,Vaccine-Influenza,11% - 30%,Pipeline,GSK,Other,Not Priority,0,"16,813","51,560","  51,560 ",,80,0,0,0,,,0,,0,0,0,0,,180,151 to 300 Days,N/A,Not Included,,"135,626","-15,692.30",,0,0,0,0,0
Pipeline,2593,7099, Phoenix | 306938 | , Phoenix , Arvind Mahadevan ,306938, Pipeline , FQ Submitted , GSK , (No Info) , Influenza , Vaccine-Influenza ,Vaccine,,0,0,0,0,0,"16,813","17,374","17,374","16,813","17,374","16,813","17,374","119,934.07",Pipeline,0,30%,,4/29/2026,Non-Psych,"8,500","GSK-Flu SV mRNA – 029-306938-Phase 2A, Influenza 50+",No CRO,GSK,Active,Pipeline 2026,7099Phoenix | 306938 |,,80,80,"680,000","204,000",No Priority,"204,000",Q2,No CRO,Pipeline 2026, Phoenix ,Vaccine-Influenza,11% - 30%,Pipeline,GSK,Other,Not Priority,0,"16,813","51,560","  51,560 ",,  80 ,0,0,  - ,,,0,,0,  - ,0,  - ,,180,151 to 300 Days,N/A,Not Included,,"135,626","-15,692.30",,0,0,0,0,0
Pipeline,2593,7098, Philadelphia | 306938 | , Philadelphia , Dr. David Wheeler ,306938, Pipeline , FQ Submitted , GSK , (No Info) , Influenza , Vaccine-Influenza ,Vaccine,,0,0,0,0,0,"16,813","17,374","17,374","16,813","17,374","16,813","17,374","119,934.07",Pipeline,0,30%,,4/29/2026,Non-Psych,"8,500","GSK-Flu SV mRNA – 029-306938-Phase 2A, Influenza 50+",No CRO,GSK,Active,Pipeline 2026,7098Philadelphia | 306938 |,,80,80,"680,000","204,000",No Priority,"204,000",Q2,No CRO,Pipeline 2026, Philadelphia ,Vaccine-Influenza,11% - 30%,Pipeline,GSK,Other,Not Priority,0,"16,813","51,560","  51,560 ",,  80 ,0,0,0,,,0,,0,0,0,0,,180,151 to 300 Days,N/A,Not Included,,"135,626","-15,692.30",,0,0,0,0,0
Pipeline,2593,7096, Jersey City | 306938 | , Jersey City , Dr. Asisat Ope ,306938, Pipeline , FQ Submitted , GSK , (No Info) , Influenza , Vaccine-Influenza ,Vaccine,,0,0,0,0,0,"16,813","17,374","17,374","16,813","17,374","16,813","17,374","119,934.07",Pipeline,0,30%,,4/29/2026,Non-Psych,"8,500","GSK-Flu SV mRNA – 029-306938-Phase 2A, Influenza 50+",No CRO,GSK,Active,Pipeline 2026,7096Jersey City | 306938 |,,80,80,"680,000","204,000",No Priority,"204,000",Q2,No CRO,Pipeline 2026, Jersey City ,Vaccine-Influenza,11% - 30%,Pipeline,GSK,Other,Not Priority,0,"16,813","51,560","  51,560 ",,  80 ,0,0,  - ,,,0,,0,  - ,0,  - ,,180,151 to 300 Days,N/A,Not Included,,"135,626","-15,692.30",,0,0,0,0,0
Pipeline,2580,7091, Rheumatology Clinic of Houston | none at the moment | , Rehman , Dr. Qaiser Rehman ,none at the moment,Cancelled,Cancelled, No Information , PPD , Rheumatoid Arthritis , Rheumatoid and Autoimmune ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,7/31/2026,Non-Psych,"20,000",PPD-Protocol/CRO Code/ERN-Phase 2 Rheumatoid Arthritis,PPD,No Information,In-Active,Cancelled,7091Rheumatology Clinic of Houston | none at the moment |,,0,0,0,0,No Priority,0,Q3,PPD,Cancelled, Rehman ,Rheumatology,0% - 10%,Not Include,Other,PPD,Not Priority,0,0,0,  - ,,10,0,0,0,,,0,,0,0,0,0,,181,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2591,7090, Bellaire | none at the moment | , Bellaire , Not available in Atom ,none at the moment, Pipeline ,Pre-award, No Information , (No Info) , Major Depressive Disorder , Psychiatry ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,5/2/2026,Psych,"20,000", Site Alliance Outreach-308934-Phase 2 Protocol MDD ,No CRO,No Information,In-Active,Pipeline 2026,7090Bellaire | none at the moment |,,8,0,"160,000",0,No Priority,0,Q2,No CRO,Pipeline 2026,Bellaire Psych,Psychiatry,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,,  - ,0,0,  - ,,,0,,0,  - ,0,  - ,,182,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2590,7089, Philadelphia | RAB35102 | , Philadelphia , Dr. David Wheeler ,RAB35102, Pipeline , FQ Submitted , No Information , IQVIA , Lyme , Vaccine-Other ,Vaccine,,0,0,0,0,0,"1,242","1,283","1,283","1,242","1,283","1,242","1,283","8,858.77",Pipeline,0,30%,,5/8/2026,Non-Psych,"8,500", IQVIA-RAB35102-Phase 3 Lyme Disease ,IQVIA,No Information,Active,Pipeline 2026,7089Philadelphia | RAB35102 |,,5,5,"42,500","12,750",No Priority,"12,750",Q2,IQVIA,Pipeline 2026, Philadelphia ,Vaccine-Other,11% - 30%,Pipeline,Other,IQVIA,Not Priority,0,"1,242","3,808","  3,808 ",,  5 ,0,0,0,,,0,,0,0,0,0,,182,151 to 300 Days,N/A,Not Included,,"9,728",-869.31,,0,0,0,0,0
Pipeline,2590,7088, Indianapolis | RAB35102 | , Indianapolis ,Brandon Essink,RAB35102, Pipeline ,FQ Submitted, No Information , IQVIA , Lyme , Vaccine-Other ,Vaccine,,0,0,0,0,0,"1,242","1,283","1,283","1,242","1,283","1,242","1,283","8,858.77",Pipeline,0,30%,,5/8/2026,Non-Psych,"8,500", IQVIA-RAB35102-Phase 3 Lyme Disease ,IQVIA,No Information,Active,Pipeline 2026,7088Indianapolis | RAB35102 |,,5,5,"42,500","12,750",No Priority,"12,750",Q2,IQVIA,Pipeline 2026, Indianapolis ,Vaccine-Other,11% - 30%,Pipeline,Other,IQVIA,Not Priority,0,"1,242","3,808","  3,808 ",,5,0,0,0,,,0,,0,0,0,0,,182,151 to 300 Days,N/A,Not Included,,"9,728",-869.31,,0,0,0,0,0
Pipeline,2590,7087, Jersey City | RAB35102 | , Jersey City , Dr. Asisat Ope ,RAB35102, Pipeline , Potential , No Information , IQVIA , Lyme , Vaccine-Other ,Vaccine,,0,0,0,0,0,207,214,214,207,214,207,214,"1,476.46",Pipeline,0,5%,,5/8/2026,Non-Psych,"8,500", IQVIA-RAB35102-Phase 3 Lyme Disease ,IQVIA,No Information,Active,Pipeline 2026,7087Jersey City | RAB35102 |,,5,5,"42,500","2,125",No Priority,"2,125",Q2,IQVIA,Pipeline 2026, Jersey City ,Vaccine-Other,0% - 10%,Pipeline,Other,IQVIA,Not Priority,0,207,635,  635 ,,  5 ,0,0,  - ,,,0,,0,  - ,0,  - ,,182,151 to 300 Days,N/A,Not Included,,"1,621",-144.89,,0,0,0,0,0
Pipeline,2590,7086, Detroit | RAB35102 | , Southfield , Dr. Rebecca Rivard ,RAB35102, Pipeline , Potential , No Information , IQVIA , Lyme , Vaccine-Other ,Vaccine,,0,0,0,0,0,207,214,214,207,214,207,214,"1,476.46",Pipeline,0,5%,,5/8/2026,Non-Psych,"8,500", IQVIA-RAB35102-Phase 3 Lyme Disease ,IQVIA,No Information,Active,Pipeline 2026,7086Detroit | RAB35102 |,,5,5,"42,500","2,125",No Priority,"2,125",Q2,IQVIA,Pipeline 2026, Southfield ,Vaccine-Other,0% - 10%,Pipeline,Other,IQVIA,Not Priority,0,207,635,  635 ,,  5 ,0,0,0,,,0,,0,0,0,0,,182,151 to 300 Days,N/A,Not Included,,"1,621",-144.89,,0,0,0,0,0
Pipeline,2590,7085, Boston | RAB35102 | , Brookline , Dr. Basmah Jalil ,RAB35102, Pipeline , Potential , No Information , IQVIA , Lyme , Vaccine-Other ,Vaccine,,0,0,0,0,0,207,214,214,207,214,207,214,"1,476.46",Pipeline,0,5%,,5/8/2026,Non-Psych,"8,500", IQVIA-RAB35102-Phase 3 Lyme Disease ,IQVIA,No Information,Active,Pipeline 2026,7085Boston | RAB35102 |,,5,5,"42,500","2,125",No Priority,"2,125",Q2,IQVIA,Pipeline 2026, Brookline ,Vaccine-Other,0% - 10%,Pipeline,Other,IQVIA,Not Priority,0,207,635,  635 ,,5,0,0,0,,,0,,0,0,0,0,,182,151 to 300 Days,N/A,Not Included,,"1,621",-144.89,,0,0,0,0,0
Pipeline,2590,7084, AOM (Brooklyn) | RAB35102 | , AOM , Dr. Ramsey Joudeh ,RAB35102, Pipeline , Potential , No Information , IQVIA , Lyme , Vaccine-Other ,Vaccine,,0,0,0,0,0,207,214,214,207,214,207,214,"1,476.46",Pipeline,0,5%,,5/8/2026,Non-Psych,"8,500", IQVIA-RAB35102-Phase 3 Lyme Disease ,IQVIA,No Information,Active,Pipeline 2026,7084AOM (Brooklyn) | RAB35102 |,,5,5,"42,500","2,125",No Priority,"2,125",Q2,IQVIA,Pipeline 2026, AOM ,Vaccine-Other,0% - 10%,Pipeline,Other,IQVIA,Not Priority,0,207,635,  635 ,,  5 ,0,0,  - ,,,0,,0,  - ,0,  - ,,182,151 to 300 Days,N/A,Not Included,,"1,621",-144.89,,0,0,0,0,0
Pipeline,2636,7261, Sugarland | D7261C00003 | , Sugarland , Dr. Kecia Leigh ,D7261C00003, Pipeline , Potential , AstraZeneca , Unknown , Type 2 Diabetes , Endocrine & Metabolism ,Non-Vaccine,,0,0,0,0,0,0,182,217,210,217,210,217,"1,253.50",Pipeline,"1,176",5%,,7/1/2026,Non-Psych,"20,000", AstraZenca-D7261C00003 (ELUMINATE 5)-Phase 3 T2DM ,No CRO,AstraZeneca,Active,Pipeline 2026,7261Sugarland | D7261C00003 |,,5,5,"100,000","5,000",2636,"4,986",Q3,No CRO,Pipeline 2026, Sugarland ,Endocrine & Metabolism,0% - 10%,Pipeline,AstraZeneca,Other,2636,0,0,609,  644 ,,5,0,0,6,,,0,,0,6,0,6,,158,151 to 300 Days,N/A,Not Included,,"1,254",0.00,,0,0,0,0,0
Pipeline,2636,7260, Indianapolis | D7261C00003 | , Indianapolis , Brandon Essink ,D7261C00003, Pipeline , Potential , AstraZeneca , Unknown , Type 2 Diabetes , Endocrine & Metabolism ,Non-Vaccine,,0,0,0,0,0,0,182,217,210,217,210,217,"1,253.50",Pipeline,"1,176",5%,,7/1/2026,Non-Psych,"20,000", AstraZenca-D7261C00003 (ELUMINATE 5)-Phase 3 T2DM ,No CRO,AstraZeneca,Active,Pipeline 2026,7260Indianapolis | D7261C00003 |,,5,5,"100,000","5,000",2636,"4,986",Q3,No CRO,Pipeline 2026, Indianapolis ,Endocrine & Metabolism,0% - 10%,Pipeline,AstraZeneca,Other,2636,0,0,609,  644 ,,  5 ,0,0,  6 ,,,0,,0,  6 ,0,  6 ,,158,151 to 300 Days,N/A,Not Included,,"1,254",0.00,,0,0,0,0,0
Pipeline,2636,7259, FSS | D7261C00003 | , FSS , Jeremy McConnell ,D7261C00003,Pipeline,Potential, AstraZeneca , Unknown , Type 2 Diabetes , Endocrine & Metabolism ,Non-Vaccine,,0,0,0,0,0,0,291,347,336,347,336,347,"2,005.60",Pipeline,"1,882",5%,,7/1/2026,Non-Psych,"20,000", AstraZenca-D7261C00003 (ELUMINATE 5)-Phase 3 T2DM ,No CRO,AstraZeneca,Active,Pipeline 2026,7259FSS | D7261C00003 |,,8,8,"160,000","8,000",2636,"7,978",Q3,No CRO,Pipeline 2026, FSS ,Endocrine & Metabolism,0% - 10%,Pipeline,AstraZeneca,Other,2636,0,0,975,"  1,031 ",,  8 ,0,0,  6 ,0,0,0,,0,  6 ,0,  6 ,,158,151 to 300 Days,N/A,Not Included,,"12,034","-10,028.01",,0,0,0,0,0
Pipeline,2636,7258, Chicago | D7261C00003 | , River Forest , Dr. Mary Brown ,D7261C00003, Pipeline , Potential , AstraZeneca , Unknown , Type 2 Diabetes , Endocrine & Metabolism ,Non-Vaccine,,0,0,0,0,0,0,182,217,210,217,210,217,"1,253.50",Pipeline,"1,176",5%,,7/1/2026,Non-Psych,"20,000", AstraZenca-D7261C00003 (ELUMINATE 5)-Phase 3 T2DM ,No CRO,AstraZeneca,Active,Pipeline 2026,7258Chicago | D7261C00003 |,,5,5,"100,000","5,000",2636,"4,986",Q3,No CRO,Pipeline 2026, River Forest ,Endocrine & Metabolism,0% - 10%,Pipeline,AstraZeneca,Other,2636,0,0,609,  644 ,,5,0,0,6,,,0,,0,6,0,6,,158,151 to 300 Days,N/A,Not Included,,"1,254",0.00,,0,0,0,0,0
Pipeline,2636,7257, Albuquerque | D7261C00003 | , Albuquerque , Dr. Sally Fisher ,D7261C00003, Pipeline , Potential , AstraZeneca , Unknown , Type 2 Diabetes , Endocrine & Metabolism ,Non-Vaccine,,0,0,0,0,0,0,182,217,210,217,210,217,"1,253.50",Pipeline,"1,176",5%,,7/1/2026,Non-Psych,"20,000", AstraZenca-D7261C00003 (ELUMINATE 5)-Phase 3 T2DM ,No CRO,AstraZeneca,Active,Pipeline 2026,7257Albuquerque | D7261C00003 |,,5,5,"100,000","5,000",2636,"4,986",Q3,No CRO,Pipeline 2026, Albuquerque ,Endocrine & Metabolism,0% - 10%,Pipeline,AstraZeneca,Other,2636,0,0,609,  644 ,,  5 ,0,0,  6 ,,,0,,0,  6 ,0,  6 ,,158,151 to 300 Days,N/A,Not Included,,"1,254",0.00,,0,0,0,0,0
Pipeline,2577,7248, none at the moment | , Sugarland Neurology , Dr. Irfan Lalani ,none at the moment,Cancelled,Cancelled, Novotech , Unknown , Focal-Onset Seizures , CNS ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Psych,"20,000"," Novotech-Protocol/CRO Code/ERN-Phase  2a, Focal-to-Bilateral Tonic-Clonic Seizures (FBTCS) Adults with Epilepsy ",No CRO,,In-Active,Cancelled,7248none at the moment |,,0,0,0,0,No Priority,0,Q2,No CRO,Cancelled, Sugarland Neurology ,Psychiatry,0% - 10%,Not Include,Other,Other,Not Priority,0,0,0,  - ,,,0,0,  4 ,,,0,,0,  4 ,0,  4 ,,161,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2632,7247, Tomball | NN9490-8665 | , Tomball 13406 , Dr. Helen Shpats ,NN9490-8665, Pipeline , FQ Submitted , Novo Norsdisk , Unknown , Atherosclerotic cardiovascular disease , Cardiovascular ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,714,"3,571","3,690","7,976.19",Pipeline,"8,333",30%,,10/26/2026,Non-Psych,"20,000", Novo Nordisk-NN9490-8665-Phase 3 Amycretin Cardiovascular Safety Trial ,No CRO,Novo Norsdisk,Active,Pipeline 2026,7247Tomball | NN9490-8665 |,,10,10,"200,000","60,000",2632,"59,762",Q4,No CRO,Pipeline 2026, Tomball 13406 ,Cardiovascular,11% - 30%,Pipeline,Other,Other,2632,0,0,0,"  7,976 ",,  10 ,0,0,0,,,0,,0,0,0,0,,161,151 to 300 Days,N/A,Not Included,,"2,900","5,075.76",,0,0,0,0,0
Pipeline,2631,7246, Tomball | NN9490-8037 | , Tomball 13406 , Dr. Helen Shpats ,NN9490-8037, Pipeline ,FQ Submitted, Novo Norsdisk , Unknown , CVOT , Cardiovascular ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,714,"3,571","3,690","7,976.19",Pipeline,"8,333",30%,,10/26/2026,Non-Psych,"20,000", Novo Nordisk-NN9490-8037-Phase 3 CVOT (ASCVD) ,No CRO,Novo Norsdisk,Active,Pipeline 2026,7246Tomball | NN9490-8037 |,,10,10,"200,000","60,000",2631,"59,762",Q4,No CRO,Pipeline 2026, Tomball 13406 ,Cardiovascular,11% - 30%,Pipeline,Other,Other,2631,0,0,0,"  7,976 ",,10,0,0,0,,,0,,0,0,0,0,,161,151 to 300 Days,N/A,Not Included,,"2,900","5,075.76",,0,0,0,0,0
Pipeline,2629,7244, Cyfair | none at the moment | , Cyfair , Brandon Essink ,none at the moment, Pipeline ,Pre-award, Yikang Biotech (Suzhou) , Aleon Pharma (Ltd) , RSV Vaccine , Vaccine-Respiratory ,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,5/31/2026,Non-Psych,"8,500", Biotech-Protocol/CRO Code/ERN-Phase 1 Recombinant RSV Vaccine , Aleon Pharma (Ltd) ,,In-Active,Pipeline 2026,7244Cyfair | none at the moment |,,8,0,"68,000",0,No Priority,0,Q2,#N/A,Pipeline 2026, Cyfair ,Vaccine-Respiratory,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,,,0,0,0,,,0,,0,0,0,0,,161,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
